blikvanger.enabled,object_type_specifications.appartment.type,publish_date,location.lat,location.lon,floor_area,plot_area,exterior_space.type,exterior_space.garden_orientation,number_of_rooms,number_of_bedrooms,address.municipality,address.neighbourhood,address.wijk,address.street_name,price.selling_price,price.selling_price_condition,construction_type,construction_period,surrounding,garage.type,energy_label,amenities,accessibility,object_type_specifications.house.type,object_type_specifications.house.orientation,exterior_space.garden_size,garage.total_capacity,blikvanger.text,project.url,offering_type,object_type,address.province
False,flat_with_porch,2024-09-28T00:00:02.4270000,52.042274475097656,4.280389308929443,[44],[0],['balcony'],[],2.0,1.0,Den Haag,Morgenstond-Zuid,Wijk 34 Morgenstond,Ruinerwoldstraat,[200000],kosten_koper,resale,from_1945_to_1959,"['on_quiet_road', 'in_residential_district']",[],E,['central_heating_boiler'],['single_storey'],,,,,,,['buy'],apartment,Zuid-Holland
False,flat_with_porch,2024-09-27T00:00:03.2900000,52.00594711303711,5.08765983581543,[79],[0],['balcony'],[],3.0,2.0,Nieuwegein,Zandveld,Zandveld,Lijsterbesstraat,[295000],kosten_koper,resale,from_1971_to_1980,"['on_quiet_road', 'in_residential_district', 'unobstructed_view']",[],C,[],"['lift', 'single_storey']",,,,,,,['buy'],apartment,Utrecht
True,,2024-09-25T17:30:02.9900000,51.81424331665039,5.25053596496582,[91],[66],['garden'],"['south', 'east']",6.0,2.0,Zaltbommel,Zaltbommel Binnenstad,Wijk 00 Zaltbommel,Bloemendaal,[395000],kosten_koper,resale,from_1906_to_1930,['in_center'],[],E,"['bathtub', 'central_heating_boiler']",[],single_family,terraced,7.0,,Karakteristieke stadswoning met een rustige ligging!,,['buy'],house,Gelderland
False,,2024-09-26T00:00:02.9800000,51.89263534545898,4.169275283813477,[110],[146],['garden'],"['south', 'east']",4.0,3.0,Voorne aan Zee,Kleine Goote,Brielle,Griend,[425000],kosten_koper,resale,from_1971_to_1980,['in_residential_district'],[],C,['central_heating_boiler'],[],single_family,terraced,50.0,,,,['buy'],house,Zuid-Holland
False,,2024-09-25T14:45:27.3400000,51.830848693847656,4.1620378494262695,[149],[252],['garden'],"['north', 'east']",5.0,4.0,Voorne aan Zee,Hout Hoeffe,De Kooistee,Kreeft,[439000],kosten_koper,resale,from_1971_to_1980,"['by_water', 'in_residential_district']","['lean_to', 'built_in', 'parking_space', 'all_garages']",A,"['bathtub', 'central_heating_boiler', 'fireplace', 'renewable_energy']",[],single_family,link_double,98.0,1.0,,,['buy'],house,Zuid-Holland
False,flat_with_porch,2024-09-26T00:00:02.9800000,51.9650764465332,4.571628570556641,[91],[0],['terrace'],[],4.0,3.0,Rotterdam,Zevenkamp,Prins Alexander,Griendwerkerstraat,[315000],kosten_koper,resale,from_1981_to_1990,"['on_quiet_road', 'in_center', 'in_residential_district']",[],C,[],['single_storey'],,,,,,,['buy'],apartment,Zuid-Holland
False,,2024-09-26T00:00:02.9800000,51.93659591674805,4.607297420501709,[118],[138],['garden'],"['south', 'east']",5.0,4.0,Capelle aan den IJssel,Dalenbuurt,Oostgaarde Zuid,Dinteldal,[415000],kosten_koper,resale,from_1971_to_1980,"['on_quiet_road', 'in_residential_district']",[],C,"['bathtub', 'central_heating_boiler']",[],single_family,terraced,54.0,,,,['buy'],house,Zuid-Holland
True,upper_floor,2024-09-26T00:00:02.9800000,51.91500473022461,4.314434051513672,[79],[0],['terrace'],[],4.0,3.0,Vlaardingen,Lage Weide,Westwijk,Lorentzstraat,[287500],kosten_koper,resale,from_1945_to_1959,"['overlooking_park', 'on_quiet_road', 'in_residential_district', 'open_position', 'unobstructed_view']",[],C,"['central_heating_boiler', 'renewable_energy']",[],,,,,leuke 4 kamer bovenwoning met royaal dakterras en 3 slaapkamers.,,['buy'],apartment,Zuid-Holland
True,upper_floor,2024-09-26T00:00:02.9800000,51.94175720214844,4.470146179199219,[107],[0],['balcony'],[],4.0,3.0,Rotterdam,Hillegersberg Zuid,Hillegersberg-Schiebroek,Rozenlaan,[425000],kosten_koper,resale,from_1931_to_1944,"['on_quiet_road', 'in_residential_district']",[],D,"['bathtub', 'central_heating_boiler']",[],,,,,Gerenoveerd 4-kamer appartement met 2 badkamers in Hillegersberg-Zuid,,['buy'],apartment,Zuid-Holland
True,,2024-09-25T16:00:02.2700000,51.945194244384766,4.708796501159668,[179],[335],['garden'],"['south', 'west']",10.0,6.0,Krimpenerwaard,Berkenwoude,Wijk 07 Berkenwoude,Dorpsstraat,[575000],kosten_koper,resale,before_1906,"['in_center', 'open_position']",[],B,"['bathtub', 'central_heating_boiler']",[],single_family,link_detached,136.0,,Zeer fraai woonhuis met een grote tuin en uitstekend verduurzaamd!,,['buy'],house,Zuid-Holland
True,upper_floor,2024-09-27T00:00:03.2900000,51.94318389892578,4.54777717590332,[63],[0],['balcony'],[],2.0,1.0,Rotterdam,Het Lage Land,Prins Alexander,Zocherstraat,[250000],kosten_koper,resale,from_1960_to_1970,"['on_quiet_road', 'in_residential_district', 'unobstructed_view']",[],E,[],['single_storey'],,,,,Leuk gelegen 2-(voorheen 3-)kamerappartement met balkon op het zuiden,,['buy'],apartment,Zuid-Holland
False,ground_floor,2024-09-25T12:36:33.2530000,52.04140853881836,4.317850589752197,[79],[0],['balcony'],[],4.0,1.0,Rijswijk,Huis te Lande,Wijk 04,Mgr P.J. Willekenslaan,[279000],kosten_koper,resale,from_1960_to_1970,"['on_quiet_road', 'in_residential_district', 'unobstructed_view']",[],E,[],[],,,,,,,['buy'],apartment,Zuid-Holland
False,,2024-09-26T00:00:02.9800000,51.87420272827149,4.352802276611328,[151],[236],"['garden', 'balcony']","['north', 'west']",5.0,4.0,Rotterdam,Hoogvliet Noord,Hoogvliet,Arubaplein,[395000],kosten_koper,resale,from_1960_to_1970,"['overlooking_park', 'on_quiet_road', 'sheltered_position', 'in_residential_district']",[],D,"['central_heating_boiler', 'fireplace', 'fixer_upper']",[],single_family,terraced,112.0,,,,['buy'],house,Zuid-Holland
False,flat_with_porch,2024-09-25T13:45:04.6800000,51.88497924804688,4.603205680847168,[77],[0],['balcony'],[],3.0,2.0,Ridderkerk,Slikkerveer,Slikkerveer,Van Anrooystraat,[279500],kosten_koper,resale,from_1960_to_1970,"['on_quiet_road', 'in_residential_district']",[],D,[],['single_storey'],,,,,,,['buy'],apartment,Zuid-Holland
False,,2024-09-25T12:30:03.6170000,51.81631851196289,4.953706741333008,[130],[240],['garden'],['south'],4.0,3.0,Altena,Sleeuwijk west,Sleeuwijk,Jan van Arkelstraat,[475000],kosten_koper,resale,from_1960_to_1970,['in_residential_district'],"['lean_to', 'all_garages']",C,"['bathtub', 'renewable_energy']",[],single_family,double,119.0,1.0,,,['buy'],house,Noord-Brabant
False,with_external_access,2024-09-25T09:18:28.2430000,51.813941955566406,4.62524938583374,[78],[0],['balcony'],[],4.0,3.0,Zwijndrecht,Bloemenbuurt B(egonia) - C(rocus),Wijk 05 Kort Ambacht,Begoniastraat,[265000],kosten_koper,resale,from_1960_to_1970,"['on_quiet_road', 'in_residential_district']",[],G,[],"['accessible_for_the_disabled', 'accessible_for_the_elderly', 'single_storey']",,,,,,,['buy'],apartment,Zuid-Holland
False,,2024-09-25T00:00:01.5870000,51.9217643737793,4.375390529632568,[107],[117],['garden'],['north'],4.0,3.0,Schiedam,Harga,Wijk 05 Kethel,Ireen Wüststraat,[500000],kosten_koper,resale,after_2020,"['on_quiet_road', 'in_residential_district']",[],A+++,['renewable_energy'],[],single_family,terraced,,,,,['buy'],house,Zuid-Holland
True,maisonnette,2024-09-24T19:02:15.4630000,51.87418746948242,4.493927955627441,[65],[0],['balcony'],[],3.0,2.0,Rotterdam,Zuidwijk,Charlois,Langenhorst,[250000],kosten_koper,resale,from_1960_to_1970,['in_residential_district'],[],E,['bathtub'],[],,,,,"Ruime maisonnette met balkon, 2 slaapkamers en volop woongenot!",,['buy'],apartment,Zuid-Holland
False,with_external_access,2024-09-24T16:28:49.4330000,51.850685119628906,4.331297397613525,[74],[0],[],[],2.0,2.0,Nissewaard,Centrum-Oost,Centrum,Damstraat,[250000],kosten_koper,resale,from_1981_to_1990,['in_center'],[],A,"['bathtub', 'central_heating_boiler']","['accessible_for_the_disabled', 'accessible_for_the_elderly', 'lift', 'single_storey']",,,,,,,['buy'],apartment,Zuid-Holland
False,flat_with_porch,2024-09-24T16:21:36.7970000,51.994171142578125,4.478085517883301,[50],[0],['balcony'],[],2.0,1.0,Lansingerland,Berkel Dorp,Wijk 21 Berkel,Nieuwstraat,[275000],kosten_koper,resale,from_1991_to_2000,['in_center'],[],C,"['bathtub', 'central_heating_boiler']","['lift', 'single_storey']",,,,,,,['buy'],apartment,Zuid-Holland
False,with_external_access,2024-09-24T17:45:02.0170000,51.91581344604492,4.500999927520752,[81],[0],['balcony'],[],3.0,2.0,Rotterdam,Noordereiland,Feijenoord,Koopvaardijhof,[375000],kosten_koper,resale,from_1981_to_1990,"['on_quiet_road', 'by_water', 'in_residential_district', 'unobstructed_view']",[],A,['central_heating_boiler'],"['lift', 'single_storey']",,,,,,,['buy'],apartment,Zuid-Holland
True,flat_with_porch,2024-09-25T00:00:01.5870000,52.04071044921875,4.269594192504883,[85],[0],['balcony'],[],3.0,2.0,Den Haag,Dreven en Gaarden,Wijk 33 Bouwlust en Vrederust,Melis Stokelaan,[325000],kosten_koper,resale,from_2001_to_2010,"['on_busy_road', 'in_residential_district']","['parking_space', 'all_garages']",A,['central_heating_boiler'],"['lift', 'single_storey']",,,,,"Modern appartement met open keuken, zonnig balkon en parkeerplaats!",,['buy'],apartment,Zuid-Holland
